restaurant,category,item,calories,protein,carbs,fat
Chick-fil-A,entree,Chick-fil-A® Deluxe Sandwich w/ Pepper Jack (254g),520.0,35.0,43.0,24.0
Chick-fil-A,entree,Chick-fil-A® Deluxe Sandwich w/ No Cheese (233g),430.0,29.0,43.0,18.0
Chick-fil-A,entree,Spicy Chicken Sandwich (188g),450.0,28.0,45.0,19.0
Chick-fil-A,entree,Spicy Deluxe Sandwich (259g),540.0,34.0,47.0,26.0
Chick-fil-A,entree,Spicy Deluxe Sandwich w/ Pepper Jack (259g),540.0,34.0,47.0,26.0
Chick-fil-A,entree,Spicy Deluxe Sandwich w/ American (252g),510.0,31.0,47.0,23.0
Chick-fil-A,entree,Spicy Deluxe Sandwich w/ Colby Jack (259g),540.0,34.0,47.0,26.0
Chick-fil-A,entree,Spicy Deluxe Sandwich w/ No Cheese (238g),460.0,28.0,46.0,19.0
Chick-fil-A,entree,Grilled Chicken Sandwich (206g),390.0,28.0,45.0,11.0
Chick-fil-A,entree,Chick-fil-A® Grilled Chicken Club Sandwich (237g),520.0,37.0,45.0,22.0
Chick-fil-A,entree,Grilled Chicken Club w/ Colby Jack (237g),520.0,37.0,45.0,22.0
Chick-fil-A,entree,Grilled Chicken Club w/ American (230g),490.0,34.0,45.0,19.0
Chick-fil-A,entree,Grilled Chicken Club w/ Pepper Jack (237g),520.0,37.0,45.0,22.0
Chick-fil-A,entree,Grilled Chicken Club w/ No Cheese (216g),440.0,31.0,45.0,15.0
Chick-fil-A,entree,Chick-fil-A® Nuggets (113g),250.0,27.0,11.0,11.0
Chick-fil-A,entree,5 ct Chick-fil-A® Nuggets (71g),160.0,17.0,7.0,7.0
Chick-fil-A,entree,8 ct Chick-fil-A® Nuggets (113g),250.0,27.0,11.0,11.0
Chick-fil-A,entree,12 ct Chick-fil-A® Nuggets (170g),380.0,40.0,16.0,17.0
Chick-fil-A,entree,30 ct Chick-fil-A® Nuggets (425g),950.0,100.0,41.0,43.0
Chick-fil-A,entree,Grilled Nuggets (95g),130.0,25.0,1.0,3.0
Chick-fil-A,entree,5 ct Grilled Nuggets (59g),80.0,16.0,1.0,2.0
Chick-fil-A,entree,8 ct Grilled Nuggets (95g),130.0,25.0,1.0,3.0
Chick-fil-A,entree,12 ct Grilled Nuggets (142g),200.0,38.0,2.0,4.5
Chick-fil-A,entree,30 ct Grilled Nuggets (369g),510.0,98.0,4.0,11.0
Chick-fil-A,entree,Chick-fil-A Chick-n-Strips® (136g),310.0,29.0,16.0,14.0
Chick-fil-A,entree,2 ct Chick-fil-A Chick-n-Strips® (91g),200.0,19.0,11.0,9.0
Chick-fil-A,entree,3 ct Chick-fil-A Chick-n-Strips® (136g),310.0,29.0,16.0,14.0
Chick-fil-A,entree,4 ct Chick-fil-A Chick-n-Strips® (181g),410.0,39.0,22.0,19.0
Chick-fil-A,entree,10 ct Chick-fil-A Chick-n-Strips® (452g),1020.0,96.0,54.0,46.0
Chick-fil-A,entree,Chick-fil-A Cool Wrap® (231g),660.0,43.0,32.0,45.0
Chick-fil-A,entree,Hot Brown (354g),740.0,48.0,38.0,42.0
Chick-fil-A,entree,Hot Brown w/ Nuggets (354g),740.0,48.0,38.0,42.0
Chick-fil-A,entree,Hot Brown w/ Spicy Breakfast Filet (372g),750.0,50.0,41.0,41.0
Chick-fil-A,entree,Hot Brown w/ Grilled Breakfast Filet (373g),770.0,49.0,42.0,43.0
Chick-fil-A,entree,Hot Brown w/ Sausage (343g),930.0,40.0,28.0,72.0
Chick-fil-A,entree,Hot Brown w/ Grilled Nuggets (335g),610.0,46.0,28.0,33.0
Chick-fil-A,entree,Hot Brown w/ Spicy Filet (361g),760.0,44.0,43.0,44.0
Chick-fil-A,salad,Cobb Salad (411g),830.0,42.0,31.0,60.0
Chick-fil-A,salad,Cobb Salad w/ Nuggets (411g),830.0,42.0,31.0,60.0
Chick-fil-A,salad,Cobb Salad w/ Spicy Grilled Filet (Cold) (383g),690.0,34.0,23.0,51.0
Chick-fil-A,salad,Cobb Salad w/ Grilled Nuggets (392g),710.0,40.0,22.0,52.0
Chick-fil-A,salad,Cobb Salad w/ Chick-fil-A Chick-n-Strips® (434g),890.0,44.0,37.0,63.0
Chick-fil-A,salad,Cobb Salad w/ Grilled Filet (Cold) (383g),690.0,36.0,22.0,50.0
Chick-fil-A,salad,Cobb Salad w/ Chick-fil-A® Filet (413g),830.0,39.0,33.0,60.0
Chick-fil-A,salad,Cobb Salad w/ Spicy Filet (418g),860.0,38.0,37.0,62.0
Chick-fil-A,salad,Cobb Salad w/ Grilled Filet (Warm) (382g),690.0,36.0,22.0,50.0
