restaurant,category,item,calories,protein,carbs,fat
Chick-fil-A,other,Peach Tea (654g),160.0,0.0,42.0,0.0
Chick-fil-A,other,Peach Unsweet Tea (654g),15.0,0.0,4.0,0.0
Chick-fil-A,other,Barbeque Sauce (28g),45.0,0.0,11.0,0.0
Chick-fil-A,other,Chick-fil-A® Sauce (28g),140.0,0.0,6.0,13.0
Chick-fil-A,other,Garden Herb Ranch Sauce (21g),100.0,0.0,1.0,11.0
Chick-fil-A,other,Honey Mustard Sauce (28g),50.0,0.0,11.0,0.0
Chick-fil-A,other,Polynesian Sauce (28g),110.0,0.0,14.0,6.0
Chick-fil-A,other,Sweet & Spicy Sriracha Sauce (28g),45.0,0.0,11.0,0.0
Chick-fil-A,other,Zesty Buffalo Sauce (21g),25.0,0.0,1.0,2.5
Chick-fil-A,other,Honey Roasted BBQ Sauce (12g),60.0,0.0,3.0,5.0
Chick-fil-A,other,Avocado Lime Ranch Dressing (57g),310.0,1.0,3.0,32.0
Chick-fil-A,other,Creamy Salsa Dressing (57g),290.0,1.0,2.0,31.0
Chick-fil-A,other,Fat-Free Honey Mustard Dressing (57g),90.0,0.0,22.0,0.0
Chick-fil-A,other,Garden Herb Ranch Dressing (57g),280.0,1.0,2.0,29.0
Chick-fil-A,other,Light Balsamic Vinaigrette Dressing (57g),80.0,0.0,10.0,4.0
Chick-fil-A,other,Light Italian Dressing (57g),25.0,0.0,3.0,1.0
Chick-fil-A,other,Zesty Apple Cider Vinaigrette Dressing (56g),230.0,0.0,16.0,19.0
Chick-fil-A,other,Gluten Free Bun (79g),180.0,3.0,37.0,3.5
Chick-fil-A,other,Buttery White Bun (60g),180.0,5.0,29.0,6.0
Chick-fil-A,other,Multigrain Brioche Bun (71g),210.0,7.0,38.0,4.5
Chick-fil-A,other,White Bun (Unbuttered) (54g),150.0,5.0,28.0,1.0
Chick-fil-A,other,Grilled Breakfast Filet (50g),60.0,13.0,0.0,1.0
Chick-fil-A,other,Bacon (10g),50.0,4.0,0.0,3.5
Chick-fil-A,other,Chick-fil-A® Breakfast Filet (71g),160.0,15.0,8.0,8.0
Chick-fil-A,other,Sausage (57g),240.0,11.0,1.0,22.0
Chick-fil-A,other,Spicy Breakfast Filet (71g),150.0,15.0,7.0,7.0
Chick-fil-A,other,Grilled Filet (84g),110.0,21.0,1.0,2.0
Chick-fil-A,other,Spicy Filet (120g),280.0,23.0,16.0,13.0
Chick-fil-A,other,Chick-fil-A® Filet (115g),250.0,24.0,12.0,12.0
Chick-fil-A,other,Blue Cheese Crumbles (9g),30.0,2.0,0.0,2.5
Chick-fil-A,other,Chili Lime Pepitas (14g),80.0,4.0,2.0,7.0
Chick-fil-A,other,Crispy Bell Peppers (14g),80.0,1.0,6.0,6.0
Chick-fil-A,other,Harvest Nut Granola (14g),70.0,1.0,10.0,2.0
Chick-fil-A,other,Roasted Nut Blend (10g),70.0,1.0,2.0,6.0
Chick-fil-A,other,Seasoned Tortilla Strips (14g),70.0,1.0,8.0,4.0
Chick-fil-A,other,Bacon (10g),50.0,4.0,0.0,3.5
Chick-fil-A,other,Lettuce (20g),5.0,0.0,1.0,0.0
Chick-fil-A,other,Tomato (30g),5.0,0.0,1.0,0.0
Chick-fil-A,other,American Cheese (14g),50.0,3.0,1.0,4.5
Chick-fil-A,other,Colby Jack Cheese (21g),80.0,5.0,0.0,7.0
Chick-fil-A,other,Pepper Jack Cheese (21g),80.0,4.0,0.0,6.0
Chick-fil-A,other,Saltines (12g),50.0,1.0,9.0,1.0
Chick-fil-A,other,Grilled Chicken Bundle  (per sandwich) (234g),460.0,41.0,32.0,18.0
Chick-fil-A,other,Pretzel Cheddar Club Grilled Bundle  (per bundle) (262g),500.0,38.0,46.0,18.0
Chick-fil-A,other,Hot Chick-fil-A® Nugget Trays (14g),30.0,3.0,1.0,1.5
Chick-fil-A,other,Small Hot Chick-fil-A® Nuggets Tray  (per nugget) (14g),30.0,3.0,1.0,1.5
Chick-fil-A,other,Medium Hot Chick-fil-A® Nuggets Tray  (per nugget) (14g),30.0,3.0,1.0,1.5
Chick-fil-A,other,Large Hot Chick-fil-A® Nuggets Tray  (per nugget) (14g),30.0,3.0,1.0,1.5
Chick-fil-A,other,30 ct Chick-fil-A® Nuggets Heart-Shaped Tray  (per tray) (425g),950.0,100.0,41.0,43.0
Chick-fil-A,other,Chilled Chick-fil-A® Nugget Trays (14g),30.0,3.0,1.0,1.5
Chick-fil-A,other,Small Chilled Chick-fil-A® Nuggets Tray  (per nugget) (14g),30.0,3.0,1.0,1.5
Chick-fil-A,other,Medium Chilled Chick-fil-A® Nuggets Tray  (per nugget) (14g),30.0,3.0,1.0,1.5
Chick-fil-A,other,Large Chilled Chick-fil-A® Nuggets Tray  (per nugget) (14g),30.0,3.0,1.0,1.5
Chick-fil-A,other,Hot Chick-n-Strips® Trays (47g),110.0,10.0,6.0,5.0
Chick-fil-A,other,Small Hot Chick-n-Strips® Tray  (per chick-n-strip) (47g),110.0,10.0,6.0,5.0
Chick-fil-A,other,Medium Hot Chick-n-Strips® Tray  (per chick-n-strip) (47g),110.0,10.0,6.0,5.0
Chick-fil-A,other,Large Hot Chick-n-Strips® Tray  (per chick-n-strip) (47g),110.0,10.0,6.0,5.0
Chick-fil-A,other,Chilled Chick-n-Strips® Trays (47g),110.0,10.0,6.0,5.0
Chick-fil-A,other,Small Chilled Chick-n-Strips® (Cooked & Chilled for Later) Tray  (per chick-n-strip) (47g),110.0,10.0,6.0,5.0
Chick-fil-A,other,Medium Chilled Chick-n-Strips® (Cooked & Chilled for Later) Tray  (per chick-n-strip) (47g),110.0,10.0,6.0,5.0
Chick-fil-A,other,Large Chilled Chick-n-Strips® (Cooked & Chilled for Later) Tray  (per chick-n-strip) (47g),110.0,10.0,6.0,5.0
Chick-fil-A,other,Chilled Grilled Chicken Sub Sandwich Tray (115g),220.0,18.0,25.0,6.0
Chick-fil-A,other,Small Chilled Grilled Chicken Sub Sandwich Tray  (per half sandwich) (115g),220.0,18.0,25.0,6.0
Chick-fil-A,other,Medium Chilled Grilled Chicken Sub Sandwich Tray  (per half sandwich) (115g),220.0,18.0,25.0,6.0
Chick-fil-A,other,Large Chilled Grilled Chicken Sub Sandwich Tray  (per half sandwich) (115g),220.0,18.0,25.0,6.0
Chick-fil-A,other,Spicy Chilled Grilled Chicken Sub Sandwich Tray (115g),220.0,16.0,25.0,6.0
Chick-fil-A,other,Small Spicy Chilled Grilled Chicken Sub Sandwich Tray  (per half sandwich) (115g),220.0,16.0,25.0,6.0
Chick-fil-A,other,Medium Spicy Chilled Grilled Chicken Sub Sandwich Tray  (per half sandwich) (115g),220.0,16.0,25.0,6.0
Chick-fil-A,other,Large Spicy Chilled Grilled Chicken Sub Sandwich Tray  (per half sandwich) (115g),220.0,16.0,25.0,6.0
Chick-fil-A,other,Chick-fil-A® Cool Wrap Trays (116g),170.0,21.0,15.0,7.0
Chick-fil-A,other,Small Chick-fil-A® Cool Wrap Tray  (per half wrap) (116g),170.0,21.0,15.0,7.0
Chick-fil-A,other,Medium Chick-fil-A® Cool Wrap Tray  (per half wrap) (116g),170.0,21.0,15.0,7.0
Chick-fil-A,other,Large Chick-fil-A® Cool Wrap Tray  (per half wrap) (116g),170.0,21.0,15.0,7.0
Chick-fil-A,other,Southwest Veggie Wrap Trays (128g),170.0,13.0,17.0,8.0
Chick-fil-A,other,Small Southwest Veggie Wrap Tray  (per half wrap) (128g),170.0,13.0,17.0,8.0
Chick-fil-A,other,Medium Southwest Veggie Wrap Tray  (per half wrap) (128g),170.0,13.0,17.0,8.0
Chick-fil-A,other,Large Southwest Veggie Wrap Tray  (per half wrap) (128g),170.0,13.0,17.0,8.0
Chick-fil-A,other,Spicy Cool Wrap® Trays (116g),170.0,20.0,15.0,7.0
Chick-fil-A,other,Small Spicy Cool Wrap® Tray  (per half wrap) (116g),170.0,20.0,15.0,7.0
Chick-fil-A,other,Medium Spicy Cool Wrap® Tray  (per half wrap) (116g),170.0,20.0,15.0,7.0
Chick-fil-A,other,Large Spicy Cool Wrap® Tray  (per half wrap) (116g),170.0,20.0,15.0,7.0
Chick-fil-A,other,Fruit Tray (1446g),780.0,8.0,182.0,0.0
Chick-fil-A,other,Small Fruit Tray  (per tray) (1446g),780.0,8.0,182.0,0.0
Chick-fil-A,other,Large Fruit Tray  (per tray) (2948g),1580.0,16.0,369.0,0.0
Chick-fil-A,other,Mac & Cheese Tray (2482g),4930.0,221.0,308.0,312.0
Chick-fil-A,other,Small Mac & Cheese Tray  (per tray) (2482g),4930.0,221.0,308.0,312.0
Chick-fil-A,other,Large Mac & Cheese Tray  (per tray) (4964g),9850.0,442.0,616.0,625.0
Chick-fil-A,other,Garden Salad Tray (595g),310.0,19.0,20.0,18.0
Chick-fil-A,other,Small Garden Salad Tray  (per tray) (595g),310.0,19.0,20.0,18.0
Chick-fil-A,other,Large Garden Salad Tray  (per tray) (1191g),630.0,38.0,41.0,36.0
Chick-fil-A,other,Kale Crunch Side Tray (610g),1160.0,30.0,77.0,87.0
Chick-fil-A,other,Small Kale Crunch Side Tray  (per tray) (610g),1160.0,30.0,77.0,87.0
Chick-fil-A,other,Large Kale Crunch Side Tray  (per tray) (1332g),2440.0,63.0,166.0,182.0
Chick-fil-A,other,Chocolate Chunk Cookie Tray (78g),370.0,5.0,49.0,17.0
Chick-fil-A,other,Small Chocolate Chunk Cookie Tray  (per cookie) (78g),370.0,5.0,49.0,17.0
Chick-fil-A,other,Large Chocolate Chunk Cookie Tray  (per cookie) (78g),370.0,5.0,49.0,17.0
Chick-fil-A,other,Chocolate Fudge Brownie Tray (43g),190.0,2.0,23.0,10.0
Chick-fil-A,other,Small Chocolate Fudge Brownie Tray  (per brownie half) (43g),190.0,2.0,23.0,10.0
Chick-fil-A,other,Large Chocolate Fudge Brownie Tray  (per brownie half) (43g),190.0,2.0,23.0,10.0
Chick-fil-A,other,Cookie & Brownie Tray (60g),280.0,3.0,36.0,14.0
Chick-fil-A,other,Small Chocolate Chunk Cookie and Chocolate Fudge Brownie Tray  (per cookie/ per brownie half) (60g),280.0,3.0,36.0,14.0
Chick-fil-A,other,Large Chocolate Chunk Cookie and Chocolate Fudge Brownie Tray  (per cookie/ per brownie half) (60g),280.0,3.0,36.0,14.0
Chick-fil-A,other,Chick-fil-A® Chicken Sandwich (183g),420.0,29.0,41.0,18.0
Chick-fil-A,other,Spicy Chicken Sandwich (188g),450.0,28.0,45.0,19.0
Chick-fil-A,other,Chick-fil-A® Nuggets (113g),250.0,27.0,11.0,11.0
Chick-fil-A,other,5 ct Chick-fil-A® Nuggets (71g),160.0,17.0,7.0,7.0
Chick-fil-A,other,8 ct Chick-fil-A® Nuggets (113g),250.0,27.0,11.0,11.0
Chick-fil-A,other,12 ct Chick-fil-A® Nuggets (170g),380.0,40.0,16.0,17.0
Chick-fil-A,other,Chilled Grilled Chicken Sub Sandwich (230g),500.0,36.0,52.0,17.0
Chick-fil-A,other,Spicy Chilled Grilled Chicken Sub Sandwich (230g),500.0,34.0,53.0,17.0
Chick-fil-A,other,Seasonal Gallon Beverages (3941g),2080.0,2.0,522.0,0.0
Chick-fil-A,other,Gallon Cherry Berry Lemonade (3941g),2470.0,4.0,622.0,0.0
Chick-fil-A,other,Gallon Cherry Berry Diet Lemonade (3941g),770.0,3.0,195.0,1.5
Chick-fil-A,other,"Gallon Cherry Berry Sunjoy® (1/2 Sweet Tea, 1/2 Lemonade) (3941g)",2080.0,2.0,522.0,0.0
Chick-fil-A,other,"Gallon Cherry Berry Sunjoy® (1/2 Unsweet Tea, 1/2 Lemonade) (3941g)",1270.0,2.0,314.0,0.0
Chick-fil-A,other,"Gallon Cherry Berry Sunjoy® (1/2 Sweet Tea, 1/2 Diet Lemonade) (3941g)",1310.0,2.0,331.0,1.0
Chick-fil-A,other,"Gallon Cherry Berry Sunjoy® (1/2 Unsweet Tea, 1/2 Diet Lemonade) (3941g)",510.0,2.0,123.0,1.0
Chick-fil-A,other,Gallon Cherry Berry Iced Tea (Sweet) (3941g),1760.0,0.0,442.0,0.0
Chick-fil-A,other,Gallon Cherry Berry Iced Tea (Unsweet) (3941g),290.0,0.0,64.0,0.0
Chick-fil-A,other,Gallon Freshly-Brewed Iced Tea Sweetened (3996g),1510.0,0.0,391.0,0.0
Chick-fil-A,other,Gallon Freshly-Brewed Iced Tea Unsweetened (3808g),0.0,0.0,0.0,0.0
Chick-fil-A,other,"Gallon Chick-fil-A® Iced Tea (1/2 Sweet Tea, 1/2 Unsweet Tea) (3904g)",790.0,0.0,205.0,0.0
Chick-fil-A,other,Gallon Chick-fil-A® Lemonade (3884g),2190.0,4.0,562.0,0.0
Chick-fil-A,other,Gallon Chick-fil-A® Diet Lemonade (3716g),460.0,3.0,126.0,1.5
Chick-fil-A,other,"Gallon Chick-fil-A® Lemonade (1/2 Lemonade, 1/2 Diet Lemonade) (3989g)",1390.0,1.0,389.0,0.5
Chick-fil-A,other,"Gallon Sunjoy® (1/2 Sweet Tea, 1/2 Lemonade) (4176g)",1970.0,2.0,506.0,0.0
Chick-fil-A,other,"Gallon Sunjoy® (1/2 Sweet Tea, 1/2 Diet Lemonade) (3997g)",1030.0,1.0,270.0,1.0
Chick-fil-A,other,"Gallon Sunjoy® (1/2 Unsweet Tea, 1/2 Lemonade) (3898g)",1170.0,2.0,301.0,0.0
Chick-fil-A,other,"Gallon Sunjoy® (1/2 Unsweet Tea, 1/2 Diet Lemonade) (3719g)",240.0,1.0,65.0,1.0
Chick-fil-A,other,DASANI® Bottled Water (479g),0.0,0.0,0.0,0.0
Chick-fil-A,other,Simply Orange® (326g),160.0,2.0,34.0,0.0
Chick-fil-A,other,Bottled Sweet Tea (506g),190.0,0.0,50.0,0.0
Chick-fil-A,other,Bottled Unsweet Tea (486g),30.0,0.0,9.0,0.0
Chick-fil-A,other,Bottled Lemonade (520g),280.0,0.0,73.0,0.0
Chick-fil-A,other,Bottled Diet Lemonade (492g),60.0,0.0,17.0,0.0
Chick-fil-A,other,Honest Kids® Apple Juice (170g),35.0,0.0,9.0,0.0
Chick-fil-A,other,1% Milk (213g),90.0,7.0,10.0,2.0
Chick-fil-A,other,1% Chocolate Milk (198g),140.0,7.0,23.0,2.0
Chick-fil-A,other,Bag of Ice (28g),0.0,0.0,0.0,0.0
Chick-fil-A,other,Ice Scoop (0g),0.0,0.0,0.0,0.0
Chick-fil-A,other,Ice Bucket and Scoop (0g),0.0,0.0,0.0,0.0
Chick-fil-A,other,Catering Coffee (2722g),0.0,0.0,0.0,0.0
